phase,timestamp,row,stepId,item,object,action,description,input,args,maxArgs
Load,2026-01-23T01:52:34.169841100,1,"b9d93107-b85c-46bd-a623-9a1c93487883","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:42.181258600,1,"b9d93107-b85c-46bd-a623-9a1c93487883","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:42.181258600,2,"94ea3350-f964-4c7a-a9b4-a93155bafd9d","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:42.181258600,3,"df9a5a86-83c8-4cbf-9709-5660985150ca","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:42.181258600,4,"584b23ea-6479-4b71-90a8-2e6c80ee7744","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:42.181258600,5,"83d7496d-aaae-46cf-a592-497373568518","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:42.181258600,6,"7e77c065-9dab-4f34-b3d4-2edfd4f87346","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:42.181258600,7,"4cfb091c-b850-420d-88d7-2a47b8a35dea","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:42.181258600,8,"3c5ecd30-28f7-4594-9c96-c63ed0383842","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:42.181258600,9,"a5b68a58-d926-4806-a748-b276481e8f42","<empty>","FileSystem","checkFileContainsKeyword","<empty>","<empty>","[, ]",2
Commit,2026-01-23T01:52:42.181258600,10,"aacbfc67-4483-41c6-a30f-8533f6fcd6ee","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:42.181258600,11,"01c432c5-c2c6-4772-b566-3b9b78de8985","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
