phase,timestamp,row,stepId,item,object,action,description,input,args,maxArgs
Load,2026-01-24T00:28:36.703991600,1,"074b9be9-9cc5-49e0-920d-2b41a58f90b8","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-24T00:28:54.736376700,1,"05c319e5-edb9-43be-9419-2fddc4642869","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Commit,2026-01-24T00:28:54.736376700,2,"1071c08f-8f7f-4943-adc8-3778ef0fb4aa","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Commit,2026-01-24T00:28:54.736376700,3,"e5aceeac-2ba6-4596-9d0b-54b99f34e1a0","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Commit,2026-01-24T00:28:54.736376700,4,"058ad019-a331-470a-a332-8ab5bf605552","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Commit,2026-01-24T00:28:54.736376700,5,"aaceb4e9-87d4-4126-815f-9500bbb53173","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Commit,2026-01-24T00:28:54.736376700,6,"fe7ad25b-9cff-4366-80d0-a24f3b68759e","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Commit,2026-01-24T00:28:54.736376700,7,"43396e67-e899-4368-becd-2349d28834ca","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Commit,2026-01-24T00:28:54.736376700,8,"fd7b4ebd-a551-4c25-a8db-8e882523dc83","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Commit,2026-01-24T00:28:54.736376700,9,"de5f1fdc-d141-4317-954f-d8e51a95630a","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:28:58.235223500,1,"572ddcfa-7e72-4bd9-a67f-277ce7cf72e3","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:28:58.235223500,2,"2ae13a12-acde-4162-934c-ca078e94e4c3","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:28:58.235223500,3,"9212f03a-ed40-40f8-a23f-619ea56a0597","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:28:58.235223500,4,"c09a0806-d061-4730-853b-ada84eca0600","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:28:58.235223500,5,"1c22b0e8-caf0-44eb-93c9-48a7cac40273","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:28:58.235223500,6,"b11ec4ce-7ef5-4728-8db6-023bb94adfde","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:28:58.235223500,7,"38b3217c-e1b1-4057-9d70-ad0f1c660396","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:28:58.235223500,8,"20d62ac6-273c-4f87-969d-cbb3ca4fd63d","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:28:58.235223500,9,"2312da16-eae8-4657-9683-b81d061ebf68","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:29:10.264705,1,"366b3d08-bde6-4281-8a91-734ac7473ba7","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:29:10.264705,2,"794c0622-cc9d-4b5f-9b70-019757babe3b","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:29:10.264705,3,"dca28770-6632-42df-9123-0e834985d3a0","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:29:10.264705,4,"80e665b4-13d6-4754-b2ad-400dacd01e42","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:29:10.264705,5,"e195b2a2-599c-47c6-b34d-1e68fa18a1fa","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:29:10.264705,6,"247ecdfd-53e1-4284-bec2-eafa4d400e5c","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:29:10.264705,7,"7c0fb809-d56a-42c1-bf96-d7fed092aba2","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:29:10.264705,8,"6620f339-d722-4692-a02c-d5f38cf0a125","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
Load,2026-01-24T00:29:10.264705,9,"d86d6a22-2788-443a-af7e-df8288195003","<empty>","WebServer","sendRequest","<empty>","<empty>","[, , , , , , , , , , , ]",12
