phase,timestamp,row,stepId,item,object,action,description,input,args,maxArgs
Load,2026-01-22T13:43:18.583801800,1,"f2a9856c-f8fc-4ef1-b18b-da34c19ae398","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-22T13:43:20.547244,1,"86651b5e-5438-4437-afcb-d8fe9051556d","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-22T13:43:23.356876800,1,"07761f83-4e68-47f4-afe5-b29452c47979","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-22T13:43:23.356876800,2,"3254c0ed-0167-4006-be6c-00e84bca135b","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-22T13:43:23.356876800,3,"fa520e6b-a1e0-463d-b4b4-4adcd940f1be","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-22T13:43:30.276433500,1,"eb3366e0-e9ea-4da3-a722-691ba9d7b5b2","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-22T13:43:30.276433500,2,"e92002ff-8712-4036-9338-3136d5196962","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-22T13:43:30.276433500,3,"4da5ff51-25e3-4822-90fe-fed57a3ed0d8","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-22T13:43:30.936582200,1,"42a0dc54-becc-428d-95b6-ca30591ea881","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-22T13:43:30.936582200,2,"1f912ae2-6fd0-4867-ad67-114e5b0ae957","<empty>","FileSystem","checkFileContainsKeyword","<empty>","<empty>","[]",0
Commit,2026-01-22T13:43:30.936582200,3,"9ee2c2e3-b9ba-43fd-87ee-6bd57f953861","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-22T13:43:31.757766700,1,"3e940f12-b630-4795-995a-2c9611594d26","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-22T13:43:31.757766700,2,"0b1a2132-a6d3-4459-89bb-c3d1a2da45b3","<empty>","FileSystem","checkFileContainsKeyword","<empty>","<empty>","[]",0
Load,2026-01-22T13:43:31.757766700,3,"e32a05a3-503f-4964-b9b4-50f06ea82236","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
