phase,timestamp,row,stepId,item,object,action,description,input,args,maxArgs
Load,2026-01-25T01:13:46.138272200,1,"d8970d26-ff63-432c-9668-bf58b3458ffa","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-25T01:13:48.315987,1,"0d9f693c-f8bc-40c8-b9bd-be9ee3ed0ef6","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Commit,2026-01-25T01:14:14.034995500,1,"dbf04e6c-16a6-463f-ad78-d1c22678415e","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:14:14.034995500,2,"332483f7-b6cc-48b6-b4d2-4ea6ac17269f","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:14:14.034995500,3,"49d62c3e-4cd0-4c2a-9bb3-78bbb67f0449","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:14:14.034995500,4,"ff040210-f17a-4a0e-a3b7-e16b0fe379e8","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:14:14.034995500,5,"350074cc-c8e1-4f77-be98-05650f5062bc","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:14:14.034995500,6,"7c76bb98-e468-4906-9145-1f94b69e8e7e","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:14:14.034995500,7,"062e6377-3d25-4643-85bf-7f4c119f4799","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:14:14.034995500,8,"6d311170-e7bc-483f-ad4e-f60a89ce1312","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:14:14.034995500,9,"b0ccfc01-e316-43e4-af02-fe786414c66c","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:14:14.034995500,10,"05f8d42f-4477-453f-9479-14797d154405","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Load,2026-01-25T01:14:21.770741900,1,"e66957a1-d210-442f-b001-d25753696517","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Load,2026-01-25T01:14:21.770741900,2,"56beed1a-acba-4a9d-bb01-5e66a1f0110a","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Load,2026-01-25T01:14:21.770741900,3,"c466252a-38a1-44d7-a460-ca450b7ee042","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Load,2026-01-25T01:14:21.770741900,4,"ce966b47-bd61-4320-a5f6-77d77ef079ab","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Load,2026-01-25T01:14:21.770741900,5,"7039c5f5-22ce-4c50-9a31-6b36638a9e6a","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Load,2026-01-25T01:14:21.770741900,6,"b3f54852-a238-4908-a153-4a69d41e6d43","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Load,2026-01-25T01:14:21.770741900,7,"cbf17ce8-9e8e-4753-8e93-c363c90a91f6","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Load,2026-01-25T01:14:21.770741900,8,"916b5258-d4dc-45f0-bd38-4966079ea298","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Load,2026-01-25T01:14:21.770741900,9,"71e6dc48-1cc5-425a-8d20-c9f42ef5b409","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Load,2026-01-25T01:14:21.770741900,10,"b21bb9fe-7e5a-4b35-bc14-31b23646bb4a","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
