phase,timestamp,row,stepId,item,object,action,description,input,args,maxArgs
Load,2026-01-25T01:22:55.574686700,1,"5c0036ef-7839-408b-be5a-acafa33e0cd7","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Commit,2026-01-25T01:23:56.511986300,1,"6b3ff66f-9ff9-4281-8142-079f0a70fb5a","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:23:56.511986300,2,"ce8e94e8-355f-4338-a4b3-68d52e130259","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:23:56.511986300,3,"692a309a-7154-482b-9183-b217cbfe6913","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:23:56.511986300,4,"8136eaee-8c47-4459-8662-838f659e30d4","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:23:56.511986300,5,"baeb3f50-d300-4657-9352-5dc88298c1d2","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:23:56.511986300,6,"6ef9e9e3-633f-44bc-8b28-fe96ce053b9b","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:23:56.511986300,7,"14f8342a-74ff-49d9-b125-d9e0dc2ecdd6","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:23:56.511986300,8,"71a36636-4bc4-4c0f-b359-0f4550973bb9","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:23:56.511986300,9,"3c87eac4-22dc-47df-befd-c6d3413b6caa","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:23:56.511986300,10,"58122432-473e-49b4-a80a-03fda97979a4","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:23:56.511986300,11,"8e9da898-492e-455c-9414-4fdbff63ac18","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:23:56.511986300,12,"4be6b77d-3591-40ae-b79b-a127ad18f461","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-25T01:23:56.511986300,13,"54a26846-9d3e-4ac8-b878-66ca46354e9b","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
