phase,timestamp,row,stepId,item,object,action,description,input,args,maxArgs
Load,2026-01-23T20:42:33.231376100,1,"9a01b69b-3de8-4611-bf23-041178f5d02c","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-23T20:42:45.852591300,1,"cb6514e4-4c52-46ae-997f-5712b717b11d","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Commit,2026-01-23T20:42:45.852591300,2,"277655cf-6635-452a-8f06-d352d0545b69","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Commit,2026-01-23T20:42:45.852591300,3,"ed67c69e-07a1-4ab7-b746-b8523ac85099","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T20:42:57.664994600,1,"80cd7d6f-3ad6-4d35-8c0a-5fce4a8240b0","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T20:42:57.664994600,2,"7d5b33ff-dc6c-4751-9087-d2e85fb82cfb","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T20:42:57.664994600,3,"879ec125-ef27-42a5-9336-11a665e8dbd6","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T20:43:01.196921100,1,"d7e1da26-e132-4401-a911-6c3d342c2d44","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T20:43:01.196921100,2,"ecd63c0d-328b-4959-b683-bdf57f5b2a33","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T20:43:01.196921100,3,"6083fd3d-9bb1-4699-bcd9-0a66e448f280","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
