phase,timestamp,row,stepId,item,object,action,description,input,args,maxArgs
Load,2026-01-23T21:37:54.600673600,1,"488e88bf-6220-4149-afb1-1fee05b7ee32","<empty>","Calculator","calculateTen","<empty>","<empty>","[, , , , , , , , , , ]",11
Commit,2026-01-23T21:38:12.803384,1,"6bcecdfb-7f1e-4478-94d2-65d5505a2aad","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Commit,2026-01-23T21:38:12.803384,2,"3e8346c7-fa24-436e-a16b-5a3ee41b5ea3","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Commit,2026-01-23T21:38:12.803384,3,"afbe4fb3-a619-451a-a656-498600b3b755","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Commit,2026-01-23T21:38:12.803384,4,"9f4bf672-772a-471a-9392-6818fbcc9798","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Commit,2026-01-23T21:38:12.803384,5,"9e4293b1-e0ce-44f0-a287-0af731730048","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Commit,2026-01-23T21:38:12.803384,6,"ebe72548-c26b-45ef-a88c-b781d5c8cfdc","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Commit,2026-01-23T21:38:12.803384,7,"22b82c9f-0310-4428-9ea1-fcd42a7d42ad","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T21:38:13.932673200,1,"062e79b5-9679-4721-a348-4c5e85756f26","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T21:38:13.932673200,2,"45ee8d3c-30a0-4606-ba46-2140b73f5f45","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T21:38:13.932673200,3,"e6bead4a-9581-40e9-8800-2001b495bf55","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T21:38:13.932673200,4,"feb786ec-c0c1-494d-b63b-bf7a2b38ff3b","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T21:38:13.932673200,5,"1c93601a-731d-4c72-a0b2-3ddd3ba6bf4b","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T21:38:13.932673200,6,"3a422599-4d1b-4352-95b9-e2f685c0f8ff","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
Load,2026-01-23T21:38:13.932673200,7,"9b1b3491-4c1f-4e27-b4f3-52b9a9a94909","<empty>","WebServer","sendRequest","<empty>","<empty>","[]",1
