phase,timestamp,row,stepId,item,object,action,description,input,args,maxArgs
Load,2026-01-23T01:52:42.184762500,1,"c771e0c5-b9e2-4419-90e8-f003300c2992","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:48.284907900,1,"c771e0c5-b9e2-4419-90e8-f003300c2992","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:48.284907900,2,"e7204fce-3eca-43a0-ae69-2839c72a8e05","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:48.284907900,3,"8f32972f-201e-4226-8f88-7955dc0c4e04","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:48.284907900,4,"56633a28-3996-4e9c-a4a0-8e732c10ff54","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Commit,2026-01-23T01:52:48.284907900,5,"03ff53d9-4882-4abd-a0be-0493066f2597","<empty>","FileSystem","checkFileContainsKeyword","<empty>","<empty>","[, ]",2
Load,2026-01-23T01:52:53.950725400,1,"c771e0c5-b9e2-4419-90e8-f003300c2992","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-23T01:52:53.950725400,2,"e7204fce-3eca-43a0-ae69-2839c72a8e05","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-23T01:52:53.950725400,3,"8f32972f-201e-4226-8f88-7955dc0c4e04","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-23T01:52:53.950725400,4,"56633a28-3996-4e9c-a4a0-8e732c10ff54","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-23T01:52:53.950725400,5,"03ff53d9-4882-4abd-a0be-0493066f2597","<empty>","FileSystem","checkFileContainsKeyword","<empty>","<empty>","[, ]",2
Load,2026-01-23T01:52:58.102972700,1,"c771e0c5-b9e2-4419-90e8-f003300c2992","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-23T01:52:58.102972700,2,"e7204fce-3eca-43a0-ae69-2839c72a8e05","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-23T01:52:58.102972700,3,"8f32972f-201e-4226-8f88-7955dc0c4e04","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-23T01:52:58.102972700,4,"56633a28-3996-4e9c-a4a0-8e732c10ff54","<empty>","<empty>","<empty>","<empty>","<empty>","[]",0
Load,2026-01-23T01:52:58.102972700,5,"03ff53d9-4882-4abd-a0be-0493066f2597","<empty>","FileSystem","checkFileContainsKeyword","<empty>","<empty>","[, ]",2
